순번,현장명,공정률,공사규모,재해일자,발생형태,기인물(대),기인물(중),기인물(소),기인물상세,소업종명,규모,직종,연령,성별,근속기간,재해요일,재해시간,재해개요,시설물(대),근로자수
1,Lotte Daesan Petrochemical PP PLANT construction project,Less than 70 to 80%,Less than 50 billion to 100 billion won,20080403,stuck,Equipment/Machines,"Transportation, lifting equipment and machinery",lift,Construction lift,Mechanical equipment construction,less than 5 people,Architectural finishing related skills,45,other,1 month to less than 2 months,thursday,15 o'clock,"At the site, while working while sitting on a pre-installed tray with the seat belt hooked on a handrail, the lower body of the seat belt caught on the corner of a construction lift that was descending, causing the victim's body to become trapped between the tray and the lift. He died after being transported to the hospital.",Light industrial facilities,0
2,Lotte Daesan Petrochemical PP PLANT construction project,Less than 70 to 80%,Less than 50 billion to 100 billion won,20080404,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Mechanical equipment construction,less than 5 people,Architectural finishing related skills,38,other,5 months to less than 6 months,friday,14:00,"The injured party occurred at the Lotte Daesan Petrochemical PP site on April 4, 2008. In the morning, I cleaned up the site, and after eating, I received special safety training (a serious disaster occurred the previous day) at the training center (temporary cafeteria) from 13:00 to 13:50, and then entered the break room around 13:55 and suffered from anemia while resting. He collapsed and was taken to the hospital for treatment on April 10, 2008. Died.",Light industrial facilities,0
3,"Naju Plain Yadong Kang Rpish Co., Ltd. miscellaneous hardware and panel construction",After construction completion,Less than 100 million to 200 million won,20130515,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","Other roofs, beams",Other construction work,less than 5 people,Architectural finishing related skills,33,other,5 months to less than 6 months,wednesday,13 o'clock,"*** was working on attaching a prefabricated panel to the ceiling of a building at 'Naju Plain Donggang RPC', located at 216-6 Hwangnyong-ri, Bonghwang-myeon, Naju-si, around 13:00 on May 15, 2013, when he stepped on a panel that was not fixed to the top plate. The panel fell down and he fell from a 15-meter-high roof. He was rescued by 119 people and died after being taken to Chonnam National University Hospital.",Light industrial facilities,3
4,Samsan Bridge Construction Project,Less than 40 to 50%,Less than 30 billion to 50 billion won,20150306,Trapped and overturned,"Buildings, structures and surfaces",formwork and braces,formwork,Other formwork,Architectural construction work,100 ~ 199 people,Construction-related technicians,44,other,less than 1 month,friday,14:00,"2015. 3. 6. Around 14:13, while dismantling and organizing the steel form with fellow workers (3 people) on the ground floor of the construction site in Hwangcheong-ri, Nae-myeon, Ganghwa-gun, Incheon, which is the construction section of the Samsan Bridge Construction Project in Ganghwa Island, the injured person was hit by a bolt. While cleaning up after dismantling, the dismantled inclined form (3m wide",Light industrial facilities,150
5,Precast concrete construction (PC construction) during the construction of the Tawon Takra 3 Knowledge Industry Center,Less than 20 to 30%,Less than 15 billion to 20 billion won,20160428,fall,Equipment/Machines,"Transportation, lifting equipment and machinery",Lifting equipment and machinery,tower crane,Architectural construction work,100 ~ 199 people,Mechanical equipment installation and maintenance workers,53,other,1 month to less than 2 months,thursday,16:00,"2016.04.28. (Thursday) Around 16:40, at the site of Tawon Construction Co., Ltd.'s ""Tawon TAKRA3 Knowledge Industry Center New Construction"" located in Danwon-gu, Ansan-si, the injured worker from Sanseong Co., Ltd., a tower crane partner, connected the tower crane lifting hook. While moving to the end of the main jib for preparation work, the workbench on the front left side of the main jib fell off the jib and fell to the ground about 50m below, along with the workbench, resulting in death.",Light industrial facilities,166
6,Precast concrete construction (PC construction) during the construction of the Tawon Takra 3 Knowledge Industry Center,Less than 70 to 80%,Less than 15 billion to 20 billion won,20161026,fall,"Buildings, structures and surfaces",Components and accessories of buildings and structures,Components and accessories of other buildings and structures,Components and accessories of other buildings and structures,Architectural construction work,100 ~ 199 people,Construction-related technicians,54,other,less than 1 month,wednesday,07:00,"2016.10.26. (Wed) 07:30 In the deep part of the PC SLAB on the 8th floor of the A-1 section of the Oval Takra 3 Knowledge Industry Center located at 645-4 Seonggok-dong, Danwon-gu, Ansan-si, the injured person used a crowbar between the SLAB and the SLAB. While adjusting the spacing, he slipped and fell to the floor of the 7th floor PC SLAB when he pulled the crowbar between SLABs towards his chest, and died on 2016.10.29.23:00 while recuperating at Korea University Ansan Hospital.",Light industrial facilities,166
7,S-ONE 2 PJT Construction EPC Contract,Less than 10 to 20%,More than 100 billion won,20161021,collapse,"Buildings, structures and surfaces",floor and ground surface etc.,slope and bedrock,slope and bedrock,Architectural construction work,"1,000 ~ 1,999 people",plumber,46,other,less than 1 month,friday,15 o'clock,"Around 15:40 on October 21, 2016, at the S-ONE project site being built by Hanwha Engineering & Construction Co., Ltd., three people, including the victim, entered the excavation site and used shovels to dig up soil for water pipe burial and piping work, when the slope of the excavation surface collapsed. This is a disaster in which the victim was buried and died.",Light industrial facilities,1087
8,"HucosMedics Co., Ltd. factory new construction in Sunyuri, Munsan, Paju, Gyeonggi-do",Less than 30 to 40%,Less than 1 billion to 2 billion won,20170124,fall,Equipment/Machines,"Transportation, lifting equipment and machinery",Other transportation and lifting equipment and machinery,Other unclassified transportation and lifting equipment and machinery,Architectural construction work,30 to 49 people,Simple construction and mining workers,49,other,less than 1 month,tuesday,15 o'clock,"This is a disaster in which a victim died after falling to the concrete floor on the first floor of the branch (about 10.2m high) while dismantling the roof steel frame rope using an aerial workbench at the new construction site of HucosMedics Co., Ltd.'s Paju CGMP plant.",Light industrial facilities,36
9,Electrical construction for household waste landfill facility,Less than 70 to 80%,Less than 10 million won,20070927,oxygen deficiency,Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,less than 5 people,"Electrical, electronic and mechanical engineering technicians and testers",36,other,1 year to less than 2 years,thursday,15 o'clock,"- 2007. 9. 27. 14:30 *** 35 years old, who was working to replace the automatic water level control device of the submersible pump installed in the sump well at the Gimcheon City household waste dump site No. 1 in Seobu-ri, Gaeryeongmyeong, Gimcheon-si, Gyeongsangbuk-do. Taejin Yoon, 37, died at work due to oxygen deficiency.",Environmental treatment facility,1
10,Electrical construction for household waste landfill facility,Less than 70 to 80%,Less than 10 million won,20070927,oxygen deficiency,Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,less than 5 people,"Electrical, electronic and mechanical engineering technicians and testers",39,other,less than 1 month,thursday,15 o'clock,"- 2007. 9. 27. 14:30 Kim Dae-hwan, 35 years old, who was working to replace the automatic water level control device of the submersible pump installed in the sump well at the Gimcheon City household waste dump site No. 1 in Seobu-ri, Gaeryeongmyeong, Gimcheon-si, Gyeongsangbuk-do, ** * A 37-year-old died at work due to oxygen deficiency.",Environmental treatment facility,1
11,Waste incineration facility and waste heat boiler construction,Less than 60 ~ 70%,Less than 5 billion to 10 billion won,20071217,fall,Equipment/Machines,General manufacturing and processing equipment and machinery,Auxiliary and support facilities such as heating and energy,Boiler,Other construction work,200 ~ 299 people,Technical occupations related to electricity and electronics,34,other,5 to less than 10 years,monday,18:00,"The injured person, an illegally employed foreigner, was assigned to a waste incineration facility and waste boiler improvement construction site around 18:00 p.m. on Monday, December 17, 2007. After replacing the bag filter on top of the boiler facility, while cleaning up the site to end the work that day, he slipped and fell 15 meters below. He fell to the ground and arrived at Sihwa Hospital using 119, but he was already diagnosed dead.",Environmental treatment facility,211
